date,border,local
2023-02-04,0,837
2023-02-03,0,1109
2023-02-02,0,1312
2023-02-01,0,1480
2023-01-31,0,1702
2023-01-30,0,1608
2023-01-29,0,1052
2023-01-28,0,859
2023-01-27,0,1337
2023-01-26,0,1578
2023-01-25,1,1740
2023-01-24,0,1877
2023-01-23,0,2130
2023-01-22,0,1239
2023-01-21,0,1070
2023-01-20,0,1710
2023-01-19,0,1947
2023-01-18,0,2312
2023-01-17,0,2584
2023-01-16,0,3011
2023-01-15,0,1710
2023-01-14,0,1607
2023-01-13,0,2433
2023-01-12,0,2783
2023-01-11,0,3094
2023-01-10,0,3512
2023-01-09,0,4038
2023-01-08,0,2430
2023-01-07,0,2347
2023-01-06,0,3244
2023-01-05,0,3586
2023-01-04,0,4388
2023-01-03,0,3089
2023-01-02,0,2572
2023-01-01,0,1870
2022-12-31,0,2268
2022-12-30,0,3312
2022-12-29,0,3818
2022-12-28,0,4579
2022-12-27,0,3641
2022-12-26,0,3255
2022-12-25,0,2164
2022-12-24,0,2815
2022-12-23,0,4050
2022-12-22,0,4654
2022-12-21,0,5338
2022-12-20,0,6131
2022-12-19,0,6835
2022-12-18,0,4010
2022-12-17,0,3826
2022-12-16,0,5315
2022-12-15,0,6515
2022-12-14,0,7084
2022-12-13,0,7511
2022-12-12,0,8442
2022-12-11,0,4733
2022-12-10,0,3848
2022-12-09,0,5353
2022-12-08,0,5604
2022-12-07,0,6314
2022-12-06,0,6710
2022-12-05,0,7493
2022-12-04,0,3906
2022-12-03,0,3311
2022-12-02,0,4543
2022-12-01,0,5014
2022-11-30,0,5826
2022-11-29,0,5907
2022-11-28,0,5995
2022-11-27,0,3229
2022-11-26,0,2714
2022-11-25,0,3546
2022-11-24,0,3915
2022-11-23,0,4303
2022-11-22,0,4588
2022-11-21,0,4764
2022-11-20,0,2655
2022-11-19,0,2376
2022-11-18,0,4330
2022-11-17,0,2873
2022-11-16,0,3683
2022-11-15,0,3846
2022-11-14,0,4284
2022-11-13,0,2516
2022-11-12,0,2107
2022-11-11,0,2776
2022-11-10,0,3179
2022-11-09,0,3504
2022-11-08,0,3571
2022-11-07,0,3912
2022-11-06,0,2313
2022-11-05,0,1923
2022-11-04,0,2719
2022-11-03,0,3148
2022-11-02,0,3329
2022-11-01,0,3495
2022-10-31,0,3856
2022-10-30,0,2396
2022-10-29,0,2142
2022-10-28,0,2867
2022-10-27,0,3171
2022-10-26,0,3577
2022-10-25,0,3923
2022-10-24,0,2410
2022-10-23,0,1638
2022-10-22,0,1588
2022-10-21,0,2197
2022-10-20,0,2433
2022-10-19,0,2635
2022-10-18,0,2924
2022-10-17,0,2923
2022-10-16,0,1751
2022-10-15,0,1469
2022-10-14,0,1907
2022-10-13,0,2174
2022-10-12,0,2330
2022-10-11,0,2213
2022-10-10,0,2444
2022-10-09,0,1380
2022-10-08,0,1135
2022-10-07,0,1541
2022-10-06,0,1737
2022-10-05,0,1767
2022-10-04,0,1832
2022-10-03,0,1797
2022-10-02,0,1145
2022-10-01,0,927
2022-09-30,0,1446
2022-09-29,0,1576
2022-09-28,0,1661
2022-09-27,0,1939
2022-09-26,0,1256
2022-09-25,0,954
2022-09-24,0,913
2022-09-23,0,1289
2022-09-22,0,1540
2022-09-21,0,1649
2022-09-20,0,1622
2022-09-19,0,1817
2022-09-18,0,1022
2022-09-17,0,885
2022-09-16,0,1146
2022-09-15,0,1325
2022-09-14,0,1589
2022-09-13,0,1596
2022-09-12,1,2020
2022-09-11,0,1189
2022-09-10,0,1009
2022-09-09,0,1464
2022-09-08,1,1546
2022-09-07,0,1736
2022-09-06,2,1889
2022-09-05,0,2136
2022-09-04,0,1334
2022-09-03,0,1155
2022-09-02,0,1704
2022-09-01,0,1890
2022-08-31,0,2195
2022-08-30,0,2345
2022-08-29,0,2570
2022-08-28,0,1694
2022-08-27,0,1464
2022-08-26,0,2271
2022-08-25,0,2482
2022-08-24,0,2899
2022-08-23,0,3283
2022-08-22,0,3819
2022-08-21,0,2729
2022-08-20,0,2333
2022-08-19,1,3411
2022-08-18,0,3895
2022-08-17,0,4622
2022-08-16,0,4664
2022-08-15,0,4972
2022-08-14,0,3419
2022-08-13,0,2910
2022-08-12,0,3720
2022-08-11,0,4281
2022-08-10,0,5004
2022-08-09,2,5399
2022-08-08,0,6112
2022-08-07,0,4052
2022-08-06,0,3648
2022-08-05,0,4894
2022-08-04,0,5501
2022-08-03,0,6340
2022-08-02,0,6705
2022-08-01,0,7360
2022-07-31,0,5332
2022-07-30,0,4694
2022-07-29,0,6467
2022-07-28,0,7909
2022-07-27,0,7931
2022-07-26,0,9128
2022-07-25,0,9677
2022-07-24,0,7018
2022-07-23,0,6127
2022-07-22,1,8062
2022-07-21,0,9056
2022-07-20,0,10339
2022-07-19,0,10680
2022-07-18,0,10750
2022-07-17,0,7706
2022-07-16,0,6790
2022-07-15,0,9526
2022-07-14,0,10796
2022-07-13,0,11712
2022-07-12,0,11779
2022-07-11,1,11845
2022-07-10,0,8690
2022-07-09,0,7769
2022-07-08,5,9549
2022-07-07,5,9561
2022-07-06,2,10934
2022-07-05,1,10560
2022-07-04,1,9829
2022-07-03,0,6584
2022-07-02,6,5476
2022-07-01,5,6822
2022-06-30,1,7407
2022-06-29,6,7854
2022-06-28,3,8128
2022-06-27,0,8377
2022-06-26,3,5771
2022-06-25,1,4612
2022-06-24,1,4009
2022-06-23,1,5040
2022-06-22,2,5544
2022-06-21,1,5762
2022-06-20,1,5877
2022-06-19,1,4192
2022-06-18,0,3367
2022-06-17,2,4575
2022-06-16,2,5084
2022-06-15,3,5699
2022-06-14,2,5808
2022-06-13,0,6425
2022-06-12,2,4621
2022-06-11,2,4569
2022-06-10,2,5333
2022-06-09,6,6534
2022-06-08,2,8235
2022-06-07,1,7337
2022-06-06,0,5980
2022-06-05,0,4556
2022-06-04,4,4531
2022-06-03,3,6500
2022-06-02,3,6439
2022-06-01,5,8129
2022-05-31,1,8471
2022-05-30,1,8708
2022-05-29,1,5990
2022-05-28,0,4961
2022-05-27,4,6523
2022-05-26,2,7125
2022-05-25,1,7837
2022-05-24,2,8393
2022-05-23,0,8678
2022-05-22,1,6149
2022-05-21,1,5147
2022-05-20,0,6858
2022-05-19,1,8050
2022-05-18,0,9363
2022-05-17,1,9784
2022-05-16,0,10095
2022-05-15,3,7223
2022-05-14,0,5913
2022-05-13,0,7227
2022-05-12,1,7630
2022-05-11,0,9631
2022-05-10,0,8209
2022-05-09,0,9448
2022-05-08,0,6553
2022-05-07,2,5808
2022-05-06,4,6923
2022-05-05,0,7561
2022-05-04,1,8869
2022-05-03,0,8813
2022-05-02,0,9331
2022-05-01,0,6806
2022-04-30,0,5827
2022-04-29,0,7220
2022-04-28,0,8418
2022-04-27,1,9253
2022-04-26,0,10049
2022-04-25,0,6533
2022-04-24,0,5784
2022-04-23,0,5755
2022-04-22,2,8051
2022-04-21,2,9521
2022-04-20,1,10413
2022-04-19,0,11385
2022-04-18,0,8456
2022-04-17,2,6327
2022-04-16,1,6009
2022-04-15,0,5815
2022-04-14,0,7901
2022-04-13,1,9705
2022-04-12,0,9594
2022-04-11,0,11220
2022-04-10,0,7684
2022-04-09,1,6789
2022-04-08,1,8595
2022-04-07,0,10041
2022-04-06,1,11746
2022-04-05,0,12686
2022-04-04,0,14223
2022-04-03,0,10271
2022-04-02,0,8853
2022-04-01,0,11693
2022-03-31,0,13561
2022-03-30,0,15319
2022-03-29,0,15994
2022-03-28,0,17219
2022-03-27,0,12547
2022-03-26,0,10687
2022-03-25,1,14202
2022-03-24,0,15944
2022-03-23,2,18497
2022-03-22,0,20170
2022-03-21,1,20977
2022-03-20,0,14495
2022-03-19,0,12043
2022-03-18,0,15630
2022-03-17,0,17108
2022-03-16,0,19607
2022-03-15,0,19536
2022-03-14,0,21660
2022-03-13,0,15593
2022-03-12,0,14524
2022-03-11,0,18731
2022-03-10,0,21069
2022-03-09,1,21047
2022-03-08,0,22489
2022-03-07,0,23945
2022-03-06,0,17493
2022-03-05,0,15248
2022-03-04,0,18948
2022-03-03,0,22544
2022-03-02,0,23209
2022-03-01,0,22248
2022-02-28,0,19910
2022-02-27,6,14584
2022-02-26,8,12766
2022-02-25,2,24360
2022-02-24,10,5395
2022-02-23,4,3963
2022-02-22,10,3435
2022-02-21,13,2838
2022-02-20,6,2090
2022-02-19,9,2504
2022-02-18,10,1761
2022-02-17,23,1898
2022-02-16,16,1543
2022-02-15,28,1170
2022-02-14,18,746
2022-02-13,19,671
2022-02-12,35,705
2022-02-11,21,659
2022-02-10,22,448
2022-02-09,30,420
2022-02-08,30,158
2022-02-07,63,227
2022-02-06,21,212
2022-02-05,33,179
2022-02-04,48,242
2022-02-03,43,241
2022-02-02,50,155
2022-02-01,52,131
2022-01-31,62,115
2022-01-30,42,93
2022-01-29,47,143
2022-01-28,66,100
2022-01-27,48,110
2022-01-26,61,62
2022-01-25,35,25
2022-01-24,41,25
2022-01-23,58,21
2022-01-22,50,27
2022-01-21,36,36
2022-01-20,48,30
2022-01-19,31,29
2022-01-18,28,38
2022-01-17,67,14
2022-01-16,20,11
2022-01-15,63,26
2022-01-14,28,25
2022-01-13,26,21
2022-01-12,29,29
2022-01-11,43,25
2022-01-10,34,18
2022-01-09,29,32
2022-01-08,31,33
2022-01-07,29,35
2022-01-06,25,49
2022-01-05,41,17
2022-01-04,24,22
2022-01-03,19,29
2022-01-02,30,23
2022-01-01,19,46
2021-12-31,18,53
2021-12-30,13,53
2021-12-29,10,37
2021-12-28,9,65
2021-12-27,13,22
2021-12-26,12,25
2021-12-25,3,44
2021-12-24,6,80
2021-12-23,5,46
2021-12-22,8,78
2021-12-21,3,55
2021-12-20,10,27
2021-12-19,2,43
2021-12-18,5,72
2021-12-17,9,58
2021-12-16,4,76
2021-12-15,4,97
2021-12-14,2,75
2021-12-13,1,64
2021-12-12,0,72
2021-12-11,2,95
2021-12-10,2,85
2021-12-09,2,91
2021-12-08,1,112
2021-12-07,2,105
2021-12-06,1,87
2021-12-05,1,98
2021-12-04,2,100
2021-12-03,3,125
2021-12-02,3,108
2021-12-01,2,131
2021-11-30,1,136
2021-11-29,4,127
2021-11-28,3,172
2021-11-27,1,136
2021-11-26,8,158
2021-11-25,3,195
2021-11-24,7,188
2021-11-23,1,181
2021-11-22,4,182
2021-11-21,1,204
2021-11-20,2,206
2021-11-19,3,169
2021-11-18,0,176
2021-11-17,1,201
2021-11-16,0,165
2021-11-15,0,183
2021-11-14,0,221
2021-11-13,1,146
2021-11-12,2,170
2021-11-11,2,212
